region,country,lat,lng,continent
Pomerol,France,44.9311234,-0.1999904,Europe
Lirac,France,44.0372,4.69136,Europe
Toscana,Italy,43.4586541,11.1389204,Europe
Bardolino,Italy,45.5475595,10.7242145,Europe
Carnuntum,Austria,48.1141485,16.8657834,Europe
Gigondas,France,44.1641127,5.0051053,Europe
Wairarapa,New Zealand,-41.2361798,175.2196902,Oceania
Itata Valley,Chile,-30.0,-71.0,South America
Chianti,Italy,43.5824597,11.3168731,Europe
Minervois,France,43.2718,2.52099,Europe
Barossa,Australia,-34.6134149,138.9385455,Oceania
Terrasses du Larzac,France,43.7152761,3.4888802,Europe
Puglia,Italy,40.9842539,16.6210027,Europe
Côtes-du-Rhône,France,44.7667285,4.8528701,Europe
South Eastern Australia,Australia,-35.0085711,138.5726421,Oceania
Stellenbosch,South Africa,-33.934444,18.869167,Africa
Bierzo,Spain,42.60645,-6.8097712,Europe
California,United States,36.7014631,-118.755997,North America
Salento,Italy,40.248604,15.190058,Europe
Douro,Portugal,41.135684,-7.1166743,Europe
Sopron,Hungary,47.6803063,16.5983457,Europe
Serra Gaúcha,Brazil,-29.1551147,-51.5153447,South America
Chianti Classico,Italy,43.3930219,11.3088538,Europe
Saint-Émilion Grand Cru,France,44.847147,-0.547337,Europe
Veneto,Italy,45.6476663,11.8665254,Europe
Monterey,United States,36.2231079,-121.387742,North America
Saint-Estèphe,France,45.5925,0.6633333,Europe
Yecla,Spain,38.6135956,-1.1157882,Europe
Campo de Borja,Spain,41.7865415,-1.5058323,Europe
Saint-Julien,France,47.4019947,5.1364639,Europe
Bourgogne,France,49.3555104,4.0681417,Europe
Barbera d'Asti,Italy,44.8524808,8.2414532,Europe
Bordeaux,France,44.841225,-0.5800364,Europe
Sancerre,France,47.3306906,2.8390454,Europe
McLaren Vale,Australia,-35.2172617,138.5416998,Oceania
Saint-Joseph,France,49.5344534,-1.529802,Europe
Fronsac,France,42.9509183,0.6487221,Europe
Terre del Volturno,Italy,41.02317,13.92577,Europe
Lazio,Italy,41.9808038,12.7662312,Europe
Castilla y León,Spain,41.55005,-5.1387401,Europe
Central Valley,Chile,-36.0,-72.0,South America
Alentejano,Portugal,38.8421261,-7.5871012,Europe
Madiran,France,43.5502022,-0.0580853,Europe
Napa Valley,United States,38.8484702,-94.413093,North America
Almansa,Spain,38.8682065,-1.0978627,Europe
Catalunya,Spain,41.8523094,1.5745043,Europe
Languedoc,France,43.6796869,1.3966515,Europe
Pays d'Oc,France,43.604764,1.4540399,Europe
Barbera d'Alba,Italy,44.7712158,8.0435811,Europe
Barolo,Italy,44.6108408,7.9428448,Europe
Pauillac,France,45.1995626,-0.7484994,Europe
Washington,United States,38.8950368,-77.0365427,North America
Côte-Rôtie,France,44.7267925,-0.3900425,Europe
Mendoza,Argentina,-34.787093,-68.4381868,South America
Ruchè,Italy,45.6350879,10.494352,Europe
Vigneti delle Dolomiti,Italy,46.38333,11.85,Europe
Mendocino County,United States,39.3176491,-123.4126399,North America
Margaux,France,45.0463335,-0.6729117,Europe
Ribera del Duero,Spain,41.6657566,-3.6863295,Europe
Faugères,France,43.5648186,3.1901144,Europe
Terre Siciliane,Italy,42.83333,12.83333,Europe
Bolgheri,Italy,43.2340065,10.6179334,Europe
Marlborough,New Zealand,-41.4744747,173.8330263,Oceania
Castilla,Spain,40.4763551,-3.6800358,Europe
Paarl,South Africa,-33.7310282,18.9642117,Africa
Burgenland,Austria,47.5000001,16.4166666,Europe
Lanzarote,Spain,29.0397081,-13.6362916,Europe
Dealu Mare,Romania,46.0417098,22.7959016,Europe
Walker Bay,South Africa,-34.518515,19.2880206,Africa
Barossa Valley,Australia,-34.5817132,138.9987872,Oceania
Fronton,France,43.840295,1.390285,Europe
Montsant,Spain,41.1171253,1.211005,Europe
Vin de France,France,50.2767373,3.977096,Europe
Pfalz,Germany,53.8156324,13.3702287,Europe
Haut-Médoc,France,45.1445995,-0.7357492,Europe
Hemel-en-Aarde Valley,South Africa,-34.39455,19.22012,Africa
Valpolicella Ripasso Classico,Italy,42.83333,12.83333,Europe
Rosso di Montalcino,Italy,43.055612,11.3592953,Europe
