region,country,lat,lng,continent
pomerol,France,44.9311234,-0.1999904,Europe
lirac,France,44.0372,4.69136,Europe
toscana,Italy,43.4586541,11.1389204,Europe
bardolino,Italy,45.5475595,10.7242145,Europe
carnuntum,Austria,48.1141485,16.8657834,Europe
gigondas,France,44.1641127,5.0051053,Europe
wairarapa,New Zealand,-41.2361798,175.2196902,Oceania
itata valley,Chile,-30.0,-71.0,South America
chianti,Italy,43.5824597,11.3168731,Europe
minervois,France,43.2718,2.52099,Europe
barossa,Australia,-34.6134149,138.9385455,Oceania
terrasses du larzac,France,43.7152761,3.4888802,Europe
puglia,Italy,40.9842539,16.6210027,Europe
cotes-du-rhone,France,44.7667285,4.8528701,Europe
south eastern australia,Australia,-35.0085711,138.5726421,Oceania
stellenbosch,South Africa,-33.934444,18.869167,Africa
bierzo,Spain,42.60645,-6.8097712,Europe
california,United States,36.7014631,-118.755997,North America
salento,Italy,40.248604,15.190058,Europe
douro,Portugal,41.135684,-7.1166743,Europe
sopron,Hungary,47.6803063,16.5983457,Europe
serra gaucha,Brazil,-29.1551147,-51.5153447,South America
chianti classico,Italy,43.3930219,11.3088538,Europe
saint-emilion grand cru,France,44.847147,-0.547337,Europe
veneto,Italy,45.6476663,11.8665254,Europe
monterey,United States,36.2231079,-121.387742,North America
saint-estephe,France,45.5925,0.6633333,Europe
yecla,Spain,38.6135956,-1.1157882,Europe
campo de borja,Spain,41.7865415,-1.5058323,Europe
saint-julien,France,47.4019947,5.1364639,Europe
bourgogne,France,49.3555104,4.0681417,Europe
barbera d'asti,Italy,44.8524808,8.2414532,Europe
bordeaux,France,44.841225,-0.5800364,Europe
sancerre,France,47.3306906,2.8390454,Europe
mclaren vale,Australia,-35.2172617,138.5416998,Oceania
saint-joseph,France,49.5344534,-1.529802,Europe
fronsac,France,42.9509183,0.6487221,Europe
terre del volturno,Italy,41.02317,13.92577,Europe
lazio,Italy,41.9808038,12.7662312,Europe
castilla y leon,Spain,41.55005,-5.1387401,Europe
central valley,Chile,-36.0,-72.0,South America
alentejano,Portugal,38.8421261,-7.5871012,Europe
madiran,France,43.5502022,-0.0580853,Europe
napa valley,United States,38.8484702,-94.413093,North America
almansa,Spain,38.8682065,-1.0978627,Europe
catalunya,Spain,41.8523094,1.5745043,Europe
languedoc,France,43.6796869,1.3966515,Europe
pays d'oc,France,43.604764,1.4540399,Europe
barbera d'alba,Italy,44.7712158,8.0435811,Europe
barolo,Italy,44.6108408,7.9428448,Europe
pauillac,France,45.1995626,-0.7484994,Europe
washington,United States,38.8950368,-77.0365427,North America
cote-rotie,France,44.7267925,-0.3900425,Europe
mendoza,Argentina,-34.787093,-68.4381868,South America
ruche,Italy,45.6350879,10.494352,Europe
vigneti delle dolomiti,Italy,46.38333,11.85,Europe
mendocino county,United States,39.3176491,-123.4126399,North America
margaux,France,45.0463335,-0.6729117,Europe
ribera del duero,Spain,41.6657566,-3.6863295,Europe
faugeres,France,43.5648186,3.1901144,Europe
terre siciliane,Italy,42.83333,12.83333,Europe
bolgheri,Italy,43.2340065,10.6179334,Europe
marlborough,New Zealand,-41.4744747,173.8330263,Oceania
castilla,Spain,40.4763551,-3.6800358,Europe
paarl,South Africa,-33.7310282,18.9642117,Africa
burgenland,Austria,47.5000001,16.4166666,Europe
lanzarote,Spain,29.0397081,-13.6362916,Europe
dealu mare,Romania,46.0417098,22.7959016,Europe
walker bay,South Africa,-34.518515,19.2880206,Africa
barossa valley,Australia,-34.5817132,138.9987872,Oceania
fronton,France,43.840295,1.390285,Europe
montsant,Spain,41.1171253,1.211005,Europe
vin de france,France,50.2767373,3.977096,Europe
pfalz,Germany,53.8156324,13.3702287,Europe
haut-medoc,France,45.1445995,-0.7357492,Europe
hemel-en-aarde valley,South Africa,-34.39455,19.22012,Africa
valpolicella ripasso classico,Italy,42.83333,12.83333,Europe
rosso di montalcino,Italy,43.055612,11.3592953,Europe
cannonau di sardegna,Italy,40.2568502,9.6218801,Europe
primitivo di manduria,Italy,40.4002788,17.6374622,Europe
rioja,Spain,42.3285528,-2.4674917,Europe
priorat,Spain,41.2137983,0.8116236,Europe
la mancha,Spain,28.3774367,-16.6977504,Europe
